texte,quantity_kg,article_context,machine_context
ERP — antimousse ratio (antimousse 1 (afranil)) ratio,51.832,,
ERP — antimousse ratio (antimousse 1 (afranil)) tour formation,275.14,,
ERP — antimousse ratio (antimousse 1 (afranil)) wet end,198.851,,
ERP — antimousse ratio (antimousse 1 (afranil)) — ligne papier,157.502,,
ERP — Biocide contrôle slime machine papier,143.826,,
ERP — Biocide contrôle slime machine papier (kg/t),413.689,,
ERP — Biocide contrôle slime machine papier kg/t papier,16.65,,
ERP — Biocide contrôle slime machine papier machine PM,236.047,,
ERP — Biocide contrôle slime machine papier ratio,92.563,,
ERP — Biocide contrôle slime machine papier tour formation,332.499,,
ERP — Biocide contrôle slime machine papier wet end,117.952,,
ERP — Biocide contrôle slime machine papier — ligne papier,299.385,,
ERP — Biocide ratio,208.036,,
ERP — Biocide ratio (kg/t),306.82,,
ERP — Biocide ratio kg/t papier,400.94,,
ERP — Biocide ratio machine PM,137.468,,
ERP — Biocide ratio ratio,408.587,,
ERP — Biocide ratio tour formation,453.487,,
ERP — Biocide ratio wet end,82.692,,
ERP — Biocide ratio — ligne papier,116.068,,
ERP — Coagulant PAC fixation charges anioniques,136.466,,
ERP — Coagulant PAC fixation charges anioniques (kg/t),297.43,,
ERP — Coagulant PAC fixation charges anioniques kg/t papier,207.138,,
ERP — Coagulant PAC fixation charges anioniques machine PM,128.821,,
ERP — Coagulant PAC fixation charges anioniques ratio,61.162,,
ERP — Coagulant PAC fixation charges anioniques tour formation,215.041,,
ERP — Coagulant PAC fixation charges anioniques wet end,406.568,,
ERP — Coagulant PAC fixation charges anioniques — ligne papier,472.349,,
ERP — Collage PPO imperméabilité TestLiner,393.6,,
ERP — Collage PPO imperméabilité TestLiner (kg/t),381.783,,
ERP — Collage PPO imperméabilité TestLiner kg/t papier,490.543,,
ERP — Collage PPO imperméabilité TestLiner machine PM,464.312,,
ERP — Collage PPO imperméabilité TestLiner ratio,456.265,,
ERP — Collage PPO imperméabilité TestLiner tour formation,156.936,,
ERP — Collage PPO imperméabilité TestLiner wet end,118.207,,
ERP — Collage PPO imperméabilité TestLiner — ligne papier,176.415,,
ERP — Colorant masse humide (dye wet end),226.203,,
ERP — Colorant masse humide (dye wet end) (kg/t),77.931,,
ERP — Colorant masse humide (dye wet end) kg/t papier,251.713,,
ERP — Colorant masse humide (dye wet end) machine PM,439.823,,
ERP — Colorant masse humide (dye wet end) ratio,337.386,,
ERP — Colorant masse humide (dye wet end) tour formation,310.246,,
ERP — Colorant masse humide (dye wet end) wet end,15.271,,
ERP — Colorant masse humide (dye wet end) — ligne papier,206.337,,
ERP — Defoamer 2 (Erol),417.868,,
ERP — Defoamer 2 (Erol) (kg/t),307.921,,
ERP — Defoamer 2 (Erol) kg/t papier,432.363,,
ERP — Defoamer 2 (Erol) machine PM,251.899,,
ERP — Defoamer 2 (Erol) ratio,76.488,,
ERP — Defoamer 2 (Erol) tour formation,3.164,,
ERP — Defoamer 2 (Erol) wet end,105.8,,
ERP — Defoamer 2 (Erol) — ligne papier,153.971,,
ERP — defoamer Afranil rupture mousse,466.954,,
ERP — defoamer Afranil rupture mousse (kg/t),357.162,,
ERP — defoamer Afranil rupture mousse kg/t papier,2.527,,
ERP — defoamer Afranil rupture mousse machine PM,7.618,,
ERP — defoamer Afranil rupture mousse ratio,39.628,,
ERP — defoamer Afranil rupture mousse tour formation,402.603,,
ERP — defoamer Afranil rupture mousse wet end,278.982,,
ERP — defoamer Afranil rupture mousse — ligne papier,194.408,,
ERP — defoamer Erol ligne carton,417.044,,
ERP — defoamer Erol ligne carton (kg/t),480.162,,
ERP — defoamer Erol ligne carton kg/t papier,131.425,,
ERP — defoamer Erol ligne carton machine PM,230.417,,
ERP — defoamer Erol ligne carton ratio,344.231,,
ERP — defoamer Erol ligne carton tour formation,127.759,,
ERP — defoamer Erol ligne carton wet end,156.24,,
ERP — defoamer Erol ligne carton — ligne papier,205.206,,
ERP — defoamer ratio (Defoamer 1 (afranil)),299.362,,
ERP — defoamer ratio (Defoamer 1 (afranil)) (kg/t),281.255,,
ERP — defoamer ratio (Defoamer 1 (afranil)) kg/t papier,109.248,,
ERP — defoamer ratio (Defoamer 1 (afranil)) machine PM,443.148,,
ERP — defoamer ratio (Defoamer 1 (afranil)) ratio,198.701,,
ERP — defoamer ratio (Defoamer 1 (afranil)) tour formation,233.162,,
ERP — defoamer ratio (Defoamer 1 (afranil)) wet end,195.878,,
ERP — defoamer ratio (Defoamer 1 (afranil)) — ligne papier,305.088,,
ERP — Dosage biocide Cannelure Fluting,6.282,,
ERP — Dosage biocide Cannelure Fluting (kg/t),129.462,,
ERP — Dosage biocide Cannelure Fluting kg/t papier,15.454,,
ERP — Dosage biocide Cannelure Fluting machine PM,142.985,,
ERP — Dosage biocide Cannelure Fluting ratio,381.618,,
ERP — Dosage biocide Cannelure Fluting tour formation,273.457,,
ERP — Dosage biocide Cannelure Fluting wet end,355.762,,
ERP — Dosage biocide Cannelure Fluting — ligne papier,333.35,,
ERP — Dye ratio (Wet end),498.297,,
ERP — Dye ratio (Wet end) (kg/t),206.549,,
ERP — Dye ratio (Wet end) kg/t papier,4.624,,
ERP — Dye ratio (Wet end) machine PM,340.242,,
ERP — Dye ratio (Wet end) ratio,327.609,,
ERP — Dye ratio (Wet end) tour formation,464.996,,
ERP — Dye ratio (Wet end) wet end,492.346,,
ERP — Dye ratio (Wet end) — ligne papier,447.234,,
ERP — Dye ratio wet end TestLiner coloré,406.368,,
ERP — Dye ratio wet end TestLiner coloré (kg/t),354.671,,
ERP — Dye ratio wet end TestLiner coloré kg/t papier,318.339,,
ERP — Dye ratio wet end TestLiner coloré machine PM,417.138,,
ERP — Dye ratio wet end TestLiner coloré ratio,20.704,,
ERP — Dye ratio wet end TestLiner coloré tour formation,220.652,,
ERP — Dye ratio wet end TestLiner coloré wet end,115.286,,
ERP — Dye ratio wet end TestLiner coloré — ligne papier,123.26,,
ERP — Krofta Polymer ratio,42.03,,
ERP — Krofta Polymer ratio (kg/t),31.842,,
ERP — Krofta Polymer ratio kg/t papier,447.378,,
ERP — Krofta Polymer ratio machine PM,119.146,,
ERP — Krofta Polymer ratio ratio,99.263,,
ERP — Krofta Polymer ratio tour formation,482.313,,
ERP — Krofta Polymer ratio wet end,439.524,,
ERP — Krofta Polymer ratio — ligne papier,192.807,,
ERP — PAC,450.908,,
ERP — PAC (kg/t),204.817,,
ERP — PAC coagulant tour de formation,70.553,,
ERP — PAC coagulant tour de formation (kg/t),296.832,,
ERP — PAC coagulant tour de formation kg/t papier,322.408,,
ERP — PAC coagulant tour de formation machine PM,385.118,,
ERP — PAC coagulant tour de formation ratio,436.887,,
ERP — PAC coagulant tour de formation tour formation,406.078,,
ERP — PAC coagulant tour de formation wet end,476.1,,
ERP — PAC coagulant tour de formation — ligne papier,322.326,,
ERP — PAC kg/t papier,57.383,,
ERP — PAC machine PM,137.653,,
ERP — PAC ratio,359.677,,
ERP — PAC tour formation,254.539,,
ERP — PAC wet end,134.06,,
ERP — PAC — ligne papier,267.163,,
ERP — Polymère clarification flottation Krofta,252.426,,
ERP — Polymère clarification flottation Krofta (kg/t),381.212,,
ERP — Polymère clarification flottation Krofta kg/t papier,161.736,,
ERP — Polymère clarification flottation Krofta machine PM,387.951,,
ERP — Polymère clarification flottation Krofta ratio,408.628,,
ERP — Polymère clarification flottation Krofta tour formation,497.134,,
ERP — Polymère clarification flottation Krofta wet end,275.992,,
ERP — Polymère clarification flottation Krofta — ligne papier,376.559,,
ERP — Prestige cleaning aids Ratio (prestige),226.589,,
ERP — Prestige cleaning aids Ratio (prestige) (kg/t),401.241,,
ERP — Prestige cleaning aids Ratio (prestige) kg/t papier,325.094,,
ERP — Prestige cleaning aids Ratio (prestige) machine PM,298.059,,
ERP — Prestige cleaning aids Ratio (prestige) ratio,142.993,,
ERP — Prestige cleaning aids Ratio (prestige) tour formation,171.072,,
ERP — Prestige cleaning aids Ratio (prestige) wet end,172.036,,
ERP — Prestige cleaning aids Ratio (prestige) — ligne papier,316.121,,
ERP — Prestige nettoyage filtre / circuit,474.082,,
ERP — Prestige nettoyage filtre / circuit (kg/t),266.315,,
ERP — Prestige nettoyage filtre / circuit kg/t papier,467.932,,
ERP — Prestige nettoyage filtre / circuit machine PM,376.133,,
ERP — Prestige nettoyage filtre / circuit ratio,208.085,,
ERP — Prestige nettoyage filtre / circuit tour formation,353.938,,
ERP — Prestige nettoyage filtre / circuit wet end,86.334,,
ERP — Prestige nettoyage filtre / circuit — ligne papier,435.845,,
ERP — retention aids fines et charges,409.029,,
ERP — retention aids fines et charges (kg/t),420.907,,
ERP — retention aids fines et charges kg/t papier,172.061,,
ERP — retention aids fines et charges machine PM,254.976,,
ERP — retention aids fines et charges ratio,270.626,,
ERP — retention aids fines et charges tour formation,445.799,,
ERP — retention aids fines et charges wet end,262.155,,
ERP — retention aids fines et charges — ligne papier,115.513,,
ERP — Retention aids ratio,429.859,,
ERP — Retention aids ratio (kg/t),419.434,,
ERP — Retention aids ratio kg/t papier,244.636,,
ERP — Retention aids ratio machine PM,47.308,,
ERP — Retention aids ratio ratio,321.289,,
ERP — Retention aids ratio tour formation,134.58,,
ERP — Retention aids ratio wet end,475.239,,
ERP — Retention aids ratio — ligne papier,378.851,,
ERP — Rétention aids ratio ligne production,26.721,,
ERP — Rétention aids ratio ligne production (kg/t),353.326,,
ERP — Rétention aids ratio ligne production kg/t papier,219.98,,
ERP — Rétention aids ratio ligne production machine PM,120.649,,
ERP — Rétention aids ratio ligne production ratio,338.985,,
ERP — Rétention aids ratio ligne production tour formation,32.916,,
ERP — Rétention aids ratio ligne production wet end,52.889,,
ERP — Rétention aids ratio ligne production — ligne papier,140.591,,
ERP — Size Press,417.476,,
ERP — Size Press (kg/t),346.203,,
ERP — Size Press kg/t papier,183.707,,
ERP — Size Press machine PM,470.483,,
ERP — Size Press ratio,84.149,,
ERP — Size Press tour formation,368.962,,
ERP — Size Press wet end,259.632,,
ERP — Size Press — ligne papier,450.801,,
ERP — Sizing Kraft (Agent collage ASA),121.154,,
ERP — Sizing Kraft (Agent collage ASA) (kg/t),34.025,,
ERP — Sizing Kraft (Agent collage ASA) kg/t papier,361.313,,
ERP — Sizing Kraft (Agent collage ASA) machine PM,484.06,,
ERP — Sizing Kraft (Agent collage ASA) ratio,344.412,,
ERP — Sizing Kraft (Agent collage ASA) tour formation,286.459,,
ERP — Sizing Kraft (Agent collage ASA) wet end,319.668,,
ERP — Sizing Kraft (Agent collage ASA) — ligne papier,386.701,,
ERP — Sizing PPO (Agent de collage),106.226,,
ERP — Sizing PPO (Agent de collage) (kg/t),487.871,,
ERP — Sizing PPO (Agent de collage) kg/t papier,163.449,,
ERP — Sizing PPO (Agent de collage) machine PM,262.353,,
ERP — Sizing PPO (Agent de collage) ratio,403.938,,
ERP — Sizing PPO (Agent de collage) tour formation,89.804,,
ERP — Sizing PPO (Agent de collage) wet end,241.768,,
ERP — Sizing PPO (Agent de collage) — ligne papier,100.748,,
ERP — Sizing PPO collage humide TestLiner,80.899,,
ERP — Sizing PPO collage humide TestLiner (kg/t),480.122,,
ERP — Sizing PPO collage humide TestLiner kg/t papier,462.188,,
ERP — Sizing PPO collage humide TestLiner machine PM,77.588,,
ERP — Sizing PPO collage humide TestLiner ratio,219.455,,
ERP — Sizing PPO collage humide TestLiner tour formation,435.307,,
ERP — Sizing PPO collage humide TestLiner wet end,252.782,,
ERP — Sizing PPO collage humide TestLiner — ligne papier,28.654,,
ERP — Starch cationic ratio,106.838,,
ERP — Starch cationic ratio (kg/t),440.707,,
ERP — Starch cationic ratio kg/t papier,343.323,,
ERP — Starch cationic ratio machine PM,11.636,,
ERP — Starch cationic ratio masse,220.077,,
ERP — Starch cationic ratio masse (kg/t),287.234,,
ERP — Starch cationic ratio masse kg/t papier,498.198,,
ERP — Starch cationic ratio masse machine PM,343.328,,
ERP — Starch cationic ratio masse ratio,204.465,,
ERP — Starch cationic ratio masse tour formation,257.586,,
ERP — Starch cationic ratio masse wet end,110.253,,
ERP — Starch cationic ratio masse — ligne papier,464.145,,
ERP — Starch cationic ratio ratio,127.686,,
ERP — Starch cationic ratio tour formation,479.553,,
ERP — Starch cationic ratio wet end,117.891,,
ERP — Starch cationic ratio — ligne papier,458.572,,
ERP — starch cationic — masse humide,486.935,,
ERP — starch cationic — masse humide (kg/t),2.55,,
ERP — starch cationic — masse humide kg/t papier,161.304,,
ERP — starch cationic — masse humide machine PM,48.567,,
ERP — starch cationic — masse humide ratio,31.258,,
ERP — starch cationic — masse humide tour formation,118.549,,
ERP — starch cationic — masse humide wet end,340.042,,
ERP — starch cationic — masse humide — ligne papier,426.119,,
ERP — Starch oxidized ratio,123.507,,
ERP — Starch oxidized ratio (kg/t),37.344,,
ERP — Starch oxidized ratio kg/t papier,422.213,,
ERP — Starch oxidized ratio machine PM,369.876,,
ERP — Starch oxidized ratio ratio,37.003,,
ERP — Starch oxidized ratio surface sèche,48.978,,
ERP — Starch oxidized ratio surface sèche (kg/t),370.618,,
ERP — Starch oxidized ratio surface sèche kg/t papier,443.693,,
ERP — Starch oxidized ratio surface sèche machine PM,171.077,,
ERP — Starch oxidized ratio surface sèche ratio,425.057,,
ERP — Starch oxidized ratio surface sèche tour formation,278.371,,
ERP — Starch oxidized ratio surface sèche wet end,64.966,,
ERP — Starch oxidized ratio surface sèche — ligne papier,417.07,,
ERP — Starch oxidized ratio tour formation,184.052,,
ERP — Starch oxidized ratio wet end,306.479,,
ERP — Starch oxidized ratio — ligne papier,163.027,,
ERP — starch oxidized traitement surface (size press),25.393,,
ERP — starch oxidized traitement surface (size press) (kg/t),470.462,,
ERP — starch oxidized traitement surface (size press) kg/t papier,42.485,,
ERP — starch oxidized traitement surface (size press) machine PM,202.556,,
ERP — starch oxidized traitement surface (size press) ratio,7.897,,
ERP — starch oxidized traitement surface (size press) tour formation,388.537,,
ERP — starch oxidized traitement surface (size press) wet end,482.655,,
ERP — starch oxidized traitement surface (size press) — ligne papier,490.975,,
Ingrédient : Agent de collage ASA Kraft pour sacs,180.994,,
Ingrédient : Agent de collage ASA Kraft pour sacs (kg/t),285.98,,
Ingrédient : Agent de collage ASA Kraft pour sacs kg/t papier,302.988,,
Ingrédient : Agent de collage ASA Kraft pour sacs machine PM,197.263,,
Ingrédient : Agent de collage ASA Kraft pour sacs ratio,49.057,,
Ingrédient : Agent de collage ASA Kraft pour sacs tour formation,226.103,,
Ingrédient : Agent de collage ASA Kraft pour sacs wet end,470.85,,
Ingrédient : Agent de collage ASA Kraft pour sacs — ligne papier,365.068,,
Ingrédient : Agent de rétention fines et charges,184.344,,
Ingrédient : Agent de rétention fines et charges (kg/t),234.735,,
Ingrédient : Agent de rétention fines et charges kg/t papier,435.116,,
Ingrédient : Agent de rétention fines et charges machine PM,463.539,,
Ingrédient : Agent de rétention fines et charges ratio,6.532,,
Ingrédient : Agent de rétention fines et charges tour formation,117.61,,
Ingrédient : Agent de rétention fines et charges wet end,495.023,,
Ingrédient : Agent de rétention fines et charges — ligne papier,401.528,,
Ingrédient : agent de rétention ratio,121.389,,
Ingrédient : agent de rétention ratio (kg/t),351.125,,
Ingrédient : agent de rétention ratio kg/t papier,178.415,,
Ingrédient : agent de rétention ratio machine PM,150.242,,
Ingrédient : agent de rétention ratio ratio,253.351,,
Ingrédient : agent de rétention ratio tour formation,473.935,,
Ingrédient : agent de rétention ratio wet end,21.759,,
Ingrédient : agent de rétention ratio — ligne papier,334.531,,
Ingrédient : Agent hydrophobe ASA sizing,250.413,,
Ingrédient : Agent hydrophobe ASA sizing (kg/t),265.935,,
Ingrédient : Agent hydrophobe ASA sizing kg/t papier,176.191,,
Ingrédient : Agent hydrophobe ASA sizing machine PM,297.103,,
Ingrédient : Agent hydrophobe ASA sizing ratio,225.021,,
Ingrédient : Agent hydrophobe ASA sizing tour formation,422.947,,
Ingrédient : Agent hydrophobe ASA sizing wet end,162.223,,
Ingrédient : Agent hydrophobe ASA sizing — ligne papier,45.452,,
Ingrédient : amidon cationique ratio,493.175,,
Ingrédient : amidon cationique ratio (kg/t),337.021,,
Ingrédient : amidon cationique ratio kg/t papier,101.308,,
Ingrédient : amidon cationique ratio machine PM,236.221,,
Ingrédient : amidon cationique ratio masse,476.596,,
Ingrédient : amidon cationique ratio masse (kg/t),451.47,,
Ingrédient : amidon cationique ratio masse kg/t papier,147.709,,
Ingrédient : amidon cationique ratio masse machine PM,242.159,,
Ingrédient : amidon cationique ratio masse ratio,201.088,,
Ingrédient : amidon cationique ratio masse tour formation,442.284,,
Ingrédient : amidon cationique ratio masse wet end,340.026,,
Ingrédient : amidon cationique ratio masse — ligne papier,132.239,,
Ingrédient : amidon cationique ratio ratio,2.626,,
Ingrédient : amidon cationique ratio tour formation,31.675,,
Ingrédient : amidon cationique ratio wet end,115.232,,
Ingrédient : amidon cationique ratio — ligne papier,8.873,,
Ingrédient : Amidon cationique — masse humide,486.621,,
Ingrédient : Amidon cationique — masse humide (kg/t),226.756,,
Ingrédient : Amidon cationique — masse humide kg/t papier,366.89,,
Ingrédient : Amidon cationique — masse humide machine PM,492.442,,
Ingrédient : Amidon cationique — masse humide ratio,115.965,,
Ingrédient : Amidon cationique — masse humide tour formation,314.724,,
Ingrédient : Amidon cationique — masse humide wet end,135.325,,
Ingrédient : Amidon cationique — masse humide — ligne papier,44.473,,
Ingrédient : amidon oxydé ratio,481.834,,
Ingrédient : amidon oxydé ratio (kg/t),67.658,,
Ingrédient : amidon oxydé ratio kg/t papier,383.733,,
Ingrédient : amidon oxydé ratio machine PM,84.2,,
Ingrédient : amidon oxydé ratio ratio,153.661,,
Ingrédient : amidon oxydé ratio surface sèche,182.009,,
Ingrédient : amidon oxydé ratio surface sèche (kg/t),413.582,,
Ingrédient : amidon oxydé ratio surface sèche kg/t papier,262.274,,
Ingrédient : amidon oxydé ratio surface sèche machine PM,70.857,,
Ingrédient : amidon oxydé ratio surface sèche ratio,165.719,,
Ingrédient : amidon oxydé ratio surface sèche tour formation,391.078,,
Ingrédient : amidon oxydé ratio surface sèche wet end,385.05,,
Ingrédient : amidon oxydé ratio surface sèche — ligne papier,186.456,,
Ingrédient : amidon oxydé ratio tour formation,351.418,,
Ingrédient : amidon oxydé ratio wet end,217.534,,
Ingrédient : amidon oxydé ratio — ligne papier,399.412,,
Ingrédient : Amidon oxydé traitement surface (size press),351.643,,
Ingrédient : Amidon oxydé traitement surface (size press) (kg/t),83.865,,
Ingrédient : Amidon oxydé traitement surface (size press) kg/t papier,406.977,,
Ingrédient : Amidon oxydé traitement surface (size press) machine PM,150.367,,
Ingrédient : Amidon oxydé traitement surface (size press) ratio,384.871,,
Ingrédient : Amidon oxydé traitement surface (size press) tour formation,417.859,,
Ingrédient : Amidon oxydé traitement surface (size press) wet end,442.237,,
Ingrédient : Amidon oxydé traitement surface (size press) — ligne papier,293.476,,
Ingrédient : antimousse 2 (Erol),118.969,,
Ingrédient : antimousse 2 (Erol) (kg/t),45.455,,
Ingrédient : antimousse 2 (Erol) kg/t papier,258.149,,
Ingrédient : antimousse 2 (Erol) machine PM,230.684,,
Ingrédient : antimousse 2 (Erol) ratio,460.945,,
Ingrédient : antimousse 2 (Erol) tour formation,482.614,,
Ingrédient : antimousse 2 (Erol) wet end,285.795,,
Ingrédient : antimousse 2 (Erol) — ligne papier,296.077,,
Ingrédient : Antimousse Afranil rupture mousse,166.237,,
Ingrédient : Antimousse Afranil rupture mousse (kg/t),136.417,,
Ingrédient : Antimousse Afranil rupture mousse kg/t papier,361.58,,
Ingrédient : Antimousse Afranil rupture mousse machine PM,340.903,,
Ingrédient : Antimousse Afranil rupture mousse ratio,272.35,,
Ingrédient : Antimousse Afranil rupture mousse tour formation,285.254,,
Ingrédient : Antimousse Afranil rupture mousse wet end,212.494,,
Ingrédient : Antimousse Afranil rupture mousse — ligne papier,194.247,,
Ingrédient : Antimousse Erol ligne carton,151.527,,
Ingrédient : Antimousse Erol ligne carton (kg/t),215.745,,
Ingrédient : Antimousse Erol ligne carton kg/t papier,193.315,,
Ingrédient : Antimousse Erol ligne carton machine PM,353.138,,
Ingrédient : Antimousse Erol ligne carton ratio,53.881,,
Ingrédient : Antimousse Erol ligne carton tour formation,471.436,,
Ingrédient : Antimousse Erol ligne carton wet end,67.759,,
Ingrédient : Antimousse Erol ligne carton — ligne papier,219.809,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)),240.872,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) (kg/t),17.793,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) kg/t papier,345.334,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) machine PM,347.179,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) ratio,19.193,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) tour formation,60.599,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) wet end,146.55,,
Ingrédient : antimousse ratio (antimousse 1 (afranil)) — ligne papier,198.56,,
Ingrédient : Biocide contrôle slime machine papier,491.634,,
Ingrédient : Biocide contrôle slime machine papier (kg/t),196.993,,
Ingrédient : Biocide contrôle slime machine papier kg/t papier,35.545,,
Ingrédient : Biocide contrôle slime machine papier machine PM,152.837,,
Ingrédient : Biocide contrôle slime machine papier ratio,233.986,,
Ingrédient : Biocide contrôle slime machine papier tour formation,33.52,,
Ingrédient : Biocide contrôle slime machine papier wet end,488.458,,
Ingrédient : Biocide contrôle slime machine papier — ligne papier,468.647,,
Ingrédient : Biocide ratio,405.404,,
Ingrédient : Biocide ratio (kg/t),314.34,,
Ingrédient : Biocide ratio kg/t papier,371.586,,
Ingrédient : Biocide ratio machine PM,145.019,,
Ingrédient : Biocide ratio ratio,118.099,,
Ingrédient : Biocide ratio tour formation,436.086,,
Ingrédient : Biocide ratio wet end,137.458,,
Ingrédient : Biocide ratio — ligne papier,98.825,,
Ingrédient : Coagulant PAC fixation charges anioniques,321.55,,
Ingrédient : Coagulant PAC fixation charges anioniques (kg/t),323.107,,
Ingrédient : Coagulant PAC fixation charges anioniques kg/t papier,36.651,,
Ingrédient : Coagulant PAC fixation charges anioniques machine PM,12.89,,
Ingrédient : Coagulant PAC fixation charges anioniques ratio,45.984,,
Ingrédient : Coagulant PAC fixation charges anioniques tour formation,97.257,,
Ingrédient : Coagulant PAC fixation charges anioniques wet end,122.367,,
Ingrédient : Coagulant PAC fixation charges anioniques — ligne papier,192.104,,
Ingrédient : Collage PPO imperméabilité TestLiner,426.256,,
Ingrédient : Collage PPO imperméabilité TestLiner (kg/t),302.028,,
Ingrédient : Collage PPO imperméabilité TestLiner kg/t papier,115.114,,
Ingrédient : Collage PPO imperméabilité TestLiner machine PM,376.583,,
Ingrédient : Collage PPO imperméabilité TestLiner ratio,91.441,,
Ingrédient : Collage PPO imperméabilité TestLiner tour formation,421.63,,
Ingrédient : Collage PPO imperméabilité TestLiner wet end,122.661,,
Ingrédient : Collage PPO imperméabilité TestLiner — ligne papier,399.722,,
Ingrédient : Colorant masse humide (dye wet end),11.921,,
Ingrédient : Colorant masse humide (dye wet end) (kg/t),381.626,,
Ingrédient : Colorant masse humide (dye wet end) kg/t papier,119.676,,
Ingrédient : Colorant masse humide (dye wet end) machine PM,408.622,,
Ingrédient : Colorant masse humide (dye wet end) ratio,41.314,,
Ingrédient : Colorant masse humide (dye wet end) tour formation,171.874,,
Ingrédient : Colorant masse humide (dye wet end) wet end,323.575,,
Ingrédient : Colorant masse humide (dye wet end) — ligne papier,424.986,,
Ingrédient : Defoamer 2 (Erol),377.606,,
Ingrédient : Defoamer 2 (Erol) (kg/t),249.301,,
Ingrédient : Defoamer 2 (Erol) kg/t papier,358.297,,
Ingrédient : Defoamer 2 (Erol) machine PM,386.578,,
Ingrédient : Defoamer 2 (Erol) ratio,253.812,,
Ingrédient : Defoamer 2 (Erol) tour formation,379.855,,
Ingrédient : Defoamer 2 (Erol) wet end,268.077,,
Ingrédient : Defoamer 2 (Erol) — ligne papier,326.471,,
Ingrédient : defoamer Afranil rupture mousse,146.145,,
Ingrédient : defoamer Afranil rupture mousse (kg/t),296.998,,
Ingrédient : defoamer Afranil rupture mousse kg/t papier,379.808,,
Ingrédient : defoamer Afranil rupture mousse machine PM,44.782,,
Ingrédient : defoamer Afranil rupture mousse ratio,48.297,,
Ingrédient : defoamer Afranil rupture mousse tour formation,59.116,,
Ingrédient : defoamer Afranil rupture mousse wet end,31.382,,
Ingrédient : defoamer Afranil rupture mousse — ligne papier,254.763,,
Ingrédient : defoamer Erol ligne carton,259.936,,
Ingrédient : defoamer Erol ligne carton (kg/t),292.966,,
Ingrédient : defoamer Erol ligne carton kg/t papier,359.189,,
Ingrédient : defoamer Erol ligne carton machine PM,428.171,,
Ingrédient : defoamer Erol ligne carton ratio,144.492,,
Ingrédient : defoamer Erol ligne carton tour formation,122.407,,
Ingrédient : defoamer Erol ligne carton wet end,437.094,,
Ingrédient : defoamer Erol ligne carton — ligne papier,482.824,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)),54.555,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) (kg/t),196.535,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) kg/t papier,106.92,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) machine PM,179.673,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) ratio,377.761,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) tour formation,312.184,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) wet end,36.132,,
Ingrédient : defoamer ratio (Defoamer 1 (afranil)) — ligne papier,317.845,,
Ingrédient : Dosage biocide Cannelure Fluting,222.463,,
Ingrédient : Dosage biocide Cannelure Fluting (kg/t),112.851,,
Ingrédient : Dosage biocide Cannelure Fluting kg/t papier,351.76,,
Ingrédient : Dosage biocide Cannelure Fluting machine PM,313.306,,
Ingrédient : Dosage biocide Cannelure Fluting ratio,317.226,,
Ingrédient : Dosage biocide Cannelure Fluting tour formation,218.348,,
Ingrédient : Dosage biocide Cannelure Fluting wet end,423.792,,
Ingrédient : Dosage biocide Cannelure Fluting — ligne papier,372.201,,
Ingrédient : Dye ratio (Wet end),35.564,,
Ingrédient : Dye ratio (Wet end) (kg/t),193.643,,
Ingrédient : Dye ratio (Wet end) kg/t papier,229.903,,
Ingrédient : Dye ratio (Wet end) machine PM,19.453,,
Ingrédient : Dye ratio (Wet end) ratio,279.71,,
Ingrédient : Dye ratio (Wet end) tour formation,184.928,,
Ingrédient : Dye ratio (Wet end) wet end,192.108,,
Ingrédient : Dye ratio (Wet end) — ligne papier,301.509,,
Ingrédient : Dye ratio wet end TestLiner coloré,375.029,,
Ingrédient : Dye ratio wet end TestLiner coloré (kg/t),318.219,,
Ingrédient : Dye ratio wet end TestLiner coloré kg/t papier,385.156,,
Ingrédient : Dye ratio wet end TestLiner coloré machine PM,416.616,,
Ingrédient : Dye ratio wet end TestLiner coloré ratio,223.186,,
Ingrédient : Dye ratio wet end TestLiner coloré tour formation,198.157,,
Ingrédient : Dye ratio wet end TestLiner coloré wet end,194.722,,
Ingrédient : Dye ratio wet end TestLiner coloré — ligne papier,441.477,,
Ingrédient : Krofta Polymer ratio,16.287,,
Ingrédient : Krofta Polymer ratio (kg/t),40.884,,
Ingrédient : Krofta Polymer ratio kg/t papier,140.321,,
Ingrédient : Krofta Polymer ratio machine PM,177.488,,
Ingrédient : Krofta Polymer ratio ratio,339.321,,
Ingrédient : Krofta Polymer ratio tour formation,282.832,,
Ingrédient : Krofta Polymer ratio wet end,286.821,,
Ingrédient : Krofta Polymer ratio — ligne papier,459.809,,
Ingrédient : PAC,174.07,,
Ingrédient : PAC (kg/t),271.896,,
